Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bahrain,BHR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.55
Bahrain,BHR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.89
Bahrain,BHR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.28
Bahrain,BHR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.81
Bahrain,BHR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5
Bahrain,BHR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.98
Bahrain,BHR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.72
Bahrain,BHR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.75
Bahrain,BHR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,38.6
Bahrain,BHR,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,74.3
Bahrain,BHR,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.58
Bahrain,BHR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.83
Bahrain,BHR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.19
Bahrain,BHR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.81
Bahrain,BHR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.26
Bahrain,BHR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.73
Bahrain,BHR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.42
Bahrain,BHR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.22
Bahrain,BHR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.6
Bahrain,BHR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26
Bahrain,BHR,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,63.6
Bahrain,BHR,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,76.58
Bahrain,BHR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.87
Bahrain,BHR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.03
Bahrain,BHR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.44
Bahrain,BHR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.38
Bahrain,BHR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.02
Bahrain,BHR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,44.09
Bahrain,BHR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.6
Bahrain,BHR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.52
Bahrain,BHR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.31
Bahrain,BHR,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,81.6
Bahrain,BHR,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,90.09
Bahrain,BHR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,28.89
Bahrain,BHR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.79
Bahrain,BHR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.34
Bahrain,BHR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,28.06
Bahrain,BHR,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.16
Bahrain,BHR,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.98
